,Rank,Country Code,Country,Capital,Continent,2023 Population,2022 Population,2021 Population,2020 Population,2015 Population,2010 Population,2000 Population,Area (km²),Density (per km²),Growth Rate (2023),World Population Percentage (2023)
170,64,ROU,Romania,Bucharest,Europe,"1,99,59,097",19659267,"1,90,62,255",19442038,19906079,20335211,21919876,238391,82.4665,1.19%,0.25%
171,9,RUS,Russia,Moscow,Europe,"14,45,46,040",144713314,"14,58,99,956",145617329,144668389,143242599,146844839,17098242,8.4636,-0.19%,1.80%
172,76,RWA,Rwanda,Kigali,Africa,"1,40,29,685",13776698,"1,34,66,174",13146362,11642959,10309031,8109989,26338,523.0731,2.31%,0.18%
173,228,BLM,Saint Barthelemy,Gustavia,North America,"10,994",10967,"9,907",10681,9643,8988,7082,21,522.2381,0.25%,0%
174,211,KNA,Saint Kitts and Nevis,Basseterre,North America,,47657,,47642,47790,47403,45461,261,182.5939,,
175,190,LCA,Saint Lucia,Castries,North America,"1,80,251",179857,"1,84,831",179237,175623,170935,159500,616,291.9756,0.22%,0%
176,220,MAF,Saint Martin,Marigot,North America,"32,077",31791,"39,234",32552,35020,36458,29610,53,599.8302,0.90%,0%
177,229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,,5862,,5906,5978,6052,6274,242,24.2231,,
178,199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,,103948,,104632,106482,109308,113813,389,267.2185,,
179,188,WSM,Samoa,Apia,Oceania,"2,25,037",222382,"2,01,011",214929,203571,194672,184008,2842,78.2484,1.48%,0%
180,218,SMR,San Marino,San Marino,Europe,"33,642",33660,"34,017",34007,33570,31608,26823,61,551.8033,-0.05%,0%
181,187,STP,Sao Tome and Principe,São Tomé,Africa,,227380,,218641,201124,182138,143714,964,235.8714,,
182,41,SAU,Saudi Arabia,Riyadh,Asia,"3,68,38,265",36408820,"3,56,59,227",35997107,32749848,29411929,21547390,2149690,16.9368,1.48%,0.46%
183,72,SEN,Senegal,Dakar,Africa,"1,76,70,492",17316449,"1,74,62,688",16436119,14356181,12530121,9704287,196722,88.025,2.58%,0.22%
184,105,SRB,Serbia,Belgrade,Europe,"71,61,948",7221365,"86,74,489",7358005,7519496,7653748,7935022,88361,81.7257,-1%,0.09%
185,196,SYC,Seychelles,Victoria,Africa,"1,07,660",107118,"99,124",105530,99240,92409,80060,452,236.9867,0.51%,0%
186,102,SLE,Sierra Leone,Freetown,Africa,"87,53,123",8605718,"82,38,113",8233969,7314773,6436698,4584067,71740,119.957,2.15%,0.11%
187,113,SGP,Singapore,Singapore,Asia,"60,07,000",5975689,"59,25,135",5909869,5650018,5163590,4053602,710,8416.4634,0.65%,0.08%
188,214,SXM,Sint Maarten,Philipsburg,North America,"44,222",44175,"43,412",43621,40205,33034,30489,34,1299.2647,0.11%,0%
189,116,SVK,Slovakia,Bratislava,Europe,"58,16,436",5643453,"54,60,937",5456681,5424444,5396424,5376690,49037,115.0856,2.69%,0.07%
190,148,SVN,Slovenia,Ljubljana,Europe,"21,19,675",2119844,"20,78,724",2117641,2080862,2057286,1984339,20273,104.5649,-0.01%,0.03%
191,166,SLB,Solomon Islands,Honiara,Oceania,"7,37,206",724273,"7,14,126",691191,612660,540394,429978,28896,25.0648,2.23%,0.01%
192,70,SOM,Somalia,Mogadishu,Africa,"1,80,30,114",17597511,"1,66,34,297",16537016,13763906,12026649,8721465,637657,27.5971,3.10%,0.23%
193,24,ZAF,South Africa,Pretoria,Africa,"6,03,03,161",59893885,"6,04,74,550",58801927,55876504,51784921,46813266,1221037,49.0517,0.87%,0.75%
194,29,KOR,South Korea,Seoul,Asia,"5,17,91,782",51815810,"5,13,31,264",51844690,50994401,48813042,46788591,100210,517.0722,-0.06%,0.65%
195,86,SSD,South Sudan,Juba,Africa,"1,10,51,470",10913164,"1,14,93,450",10606227,11194299,9714419,6114440,619745,17.6091,1.61%,0.14%
196,30,ESP,Spain,Madrid,Europe,"4,75,28,638",47558630,"4,67,36,811",47363807,46431342,46572772,40741651,505992,93.9909,-0.08%,0.59%
197,61,LKA,Sri Lanka,Colombo,Asia,"2,18,81,995",21832143,"2,15,47,096",21715079,21336697,20668557,18776371,65610,332.7563,0.28%,0.27%
198,32,SDN,Sudan,Khartoum,Africa,"4,78,55,448",46874204,"4,55,32,863",44440486,38171178,33739933,26298773,1886068,24.8529,2.63%,0.60%
199,170,SUR,Suriname,Paramaribo,South America,"6,21,949",618040,"5,94,817",607065,575475,546080,478998,163820,3.7727,0.84%,0.01%
